Generation,Individual,theta_5_c,pr_scbc,theta_w_c,pr_orc,Fitness,ThermalEfficiency,ExergyEfficiency,Cost
6,32,587.8261,3.2090,122.0952,3.3346,0.518260,0.433500,0.645400,N/A
6,33,587.8261,3.2090,120.3875,3.3346,0.518260,0.433500,0.645400,N/A
6,34,600.0000,3.2135,118.5939,3.7120,0.524480,0.440200,0.650900,N/A
6,35,592.3755,3.4081,122.4481,3.4570,0.520260,0.435700,0.647100,N/A
6,36,589.3888,3.2974,124.4588,3.1511,0.517820,0.433300,0.644600,N/A
6,37,589.3888,3.2974,123.3097,3.1511,0.517820,0.433300,0.644600,N/A
6,38,600.0000,3.2330,123.6101,3.4666,0.523320,0.439200,0.649500,N/A
6,39,589.9869,3.3191,123.6101,3.4666,0.519620,0.434900,0.646700,N/A
6,40,600.0000,3.2350,122.7284,3.4664,0.523320,0.439200,0.649500,N/A
6,41,589.5146,3.2109,122.7284,3.4175,0.519260,0.434500,0.646400,N/A
6,42,597.0487,3.3191,120.9932,3.2804,0.521360,0.437200,0.647600,N/A
6,43,589.9869,3.3191,120.9932,3.3206,0.518940,0.434300,0.645900,N/A
6,44,590.1147,3.2760,123.0748,3.1884,0.518320,0.433800,0.645100,N/A
6,45,582.2840,3.3373,123.0748,3.1884,0.515260,0.430300,0.642700,N/A
6,46,591.7256,3.0199,118.8744,3.2215,0.518560,0.434200,0.645100,N/A
6,47,591.7256,3.2024,118.8744,3.2215,0.519140,0.434700,0.645800,N/A
6,48,591.9563,3.1815,122.9905,3.3743,0.519920,0.435400,0.646700,N/A
6,49,591.9563,3.2247,122.9905,3.3743,0.519960,0.435400,0.646800,N/A
6,50,591.1542,3.2247,122.9905,3.4512,0.520080,0.435400,0.647100,N/A
7,1,600.0000,3.2135,118.5939,3.7120,0.524480,0.440200,0.650900,N/A
7,2,591.4332,3.4216,118.3762,3.7366,0.521200,0.436400,0.648400,N/A
7,3,598.1889,3.4450,118.4942,3.2440,0.521160,0.437200,0.647100,N/A
7,4,597.0487,3.3191,120.9932,3.2992,0.521460,0.437300,0.647700,N/A
7,5,600.0000,3.3439,120.9932,3.2804,0.522220,0.438300,0.648100,N/A
7,6,596.6289,3.3706,116.4867,3.5207,0.522120,0.437800,0.648600,N/A
7,7,596.6289,3.3706,114.7383,3.2884,0.521060,0.436900,0.647300,N/A
7,8,600.0000,3.3277,122.9776,3.1030,0.521260,0.437500,0.646900,N/A
7,9,585.4566,3.3277,122.9776,3.2487,0.516800,0.432000,0.644000,N/A
7,10,591.8864,3.3330,123.0756,3.4183,0.520100,0.435500,0.647000,N/A
7,11,568.9559,3.3330,123.0756,3.4183,0.511060,0.425100,0.640000,N/A
7,12,592.1739,3.2174,120.7595,4.0000,0.522760,0.437800,0.650200,N/A
7,13,592.1739,3.2174,120.7595,3.2259,0.519340,0.434900,0.646000,N/A
7,14,593.0840,3.2216,123.0760,3.4012,0.520520,0.436000,0.647300,N/A
7,15,593.0840,3.2216,123.0760,3.8669,0.522540,0.437700,0.649800,N/A
